ticker,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,cvar_95,beta,tail_ratio,rolling_correlation_std,liquidity_score,roe,expense_ratio,quality_score,dividend_yield,pe_ratio,sector,industry,is_etf,esg_score
BMY,-0.10338,0.25874,-0.45133,-0.66389,-0.46882,-0.03680,0.30208,1.01080,0.13395,808300613.12,0.33777,0.0000,0.33777,4.87,17.15825,Healthcare,Drug Manufacturers - General,False,23.63
TYL,0.12620,0.26367,0.43064,0.67461,-0.29950,-0.03506,0.80782,1.16560,0.19573,173873523.20,0.09168,0.0000,0.09168,0.00,64.14445,Technology,Software - Application,False,21.91
GRMN,0.31368,0.30884,0.90810,1.25011,-0.27975,-0.03848,1.00040,1.13182,0.18351,186328949.82,0.19655,0.0000,0.19655,1.80,24.56404,Technology,Scientific & Technical Instruments,False,20.57
GOOG,0.47949,0.30291,1.31829,1.92450,-0.29350,-0.04127,1.16855,1.08537,0.10225,7553367950.60,0.35450,0.0000,0.35450,0.26,31.65054,Communication Services,Internet Content & Information,False,16.64
AVGO,0.96389,0.46827,1.59366,2.53254,-0.41150,-0.05789,1.85794,1.36642,0.10640,9344548698.66,0.27083,0.0000,0.27083,0.62,98.09535,Technology,Semiconductors,False,23.69
CYBR,0.49424,0.36199,1.18385,1.78761,-0.26147,-0.04872,1.24598,1.16279,0.13654,262914658.72,-0.12727,0.0000,-0.12727,0.00,137.60472,Technology,Software - Infrastructure,False,23.00
CRWD,0.64363,0.45096,1.24362,1.83229,-0.44437,-0.06157,1.64177,1.06713,0.11358,1361477061.32,-0.08815,0.0000,-0.08815,0.00,122.75644,Technology,Software - Infrastructure,False,18.78
AMD,0.43595,0.52334,0.87437,1.43713,-0.63000,-0.06806,2.05253,1.19515,0.13679,12976361011.20,0.05317,0.0000,0.05317,0.00,113.92670,Technology,Semiconductors,False,22.51
DDOG,0.30466,0.49766,0.69843,1.10258,-0.48414,-0.06362,1.46672,1.21979,0.13637,711603928.20,0.03519,0.0000,0.03519,0.00,502.67743,Technology,Software - Application,False,21.84
PLTR,1.90894,0.67096,1.86541,3.24895,-0.40611,-0.07993,2.26234,1.44450,0.11664,9593734647.20,0.19504,0.0000,0.19504,0.00,400.18182,Technology,Software - Infrastructure,False,20.73
ABT,0.08022,0.20092,0.28538,0.41626,-0.20878,-0.02731,0.33063,1.05941,0.15321,780679108.33,0.30620,0.0000,0.30620,1.88,15.73995,Healthcare,Medical Devices,False,23.37
VRTX,0.13421,0.28095,0.45146,0.50050,-0.29067,-0.03992,0.51758,0.84466,0.05907,687266857.93,0.22307,0.0000,0.22307,0.00,32.56892,Healthcare,Biotechnology,False,28.62
TEM,0.52578,1.07953,0.88105,1.56684,-0.58993,-0.12766,2.69630,1.30576,0.08189,547355459.31,-0.72612,0.0000,-0.72612,0.00,-107.01429,Healthcare,Health Information Services,False,33.39
ISRG,0.28357,0.30918,0.83326,1.27796,-0.29627,-0.04082,1.18117,1.15408,0.16148,1337043853.35,0.16902,0.0000,0.16902,0.00,75.15964,Healthcare,Medical Instruments & Supplies,False,27.76
PG,0.02011,0.16145,-0.04541,-0.06144,-0.16893,-0.02429,0.18162,0.89730,0.16870,1193508736.76,0.31902,0.0000,0.31902,2.88,21.41752,Consumer Defensive,Household & Personal Products,False,25.68
COST,0.25328,0.19920,1.03641,1.42789,-0.17375,-0.02811,0.64102,0.99310,0.14308,2261423943.96,0.30686,0.0000,0.30686,0.56,50.75729,Consumer Defensive,Discount Stores,False,22.88
WMT,0.33043,0.19926,1.33726,1.88122,-0.21928,-0.02680,0.47679,1.09550,0.17896,1943449948.74,0.23661,0.0000,0.23661,0.82,40.00350,Consumer Defensive,Discount Stores,False,21.57
JBGS,0.01244,0.33891,0.08583,0.13635,-0.36457,-0.04485,0.93387,1.06743,0.11003,15625742.64,-0.08919,0.0000,-0.08919,3.87,-11.04268,Real Estate,REIT - Office,False,32.84
ARE,-0.28120,0.33767,-0.92999,-1.17209,-0.67487,-0.05213,0.95485,0.82160,0.13445,112512682.44,-0.01084,0.0000,-0.01084,9.67,14.07558,Real Estate,REIT - Office,False,31.18
HASI,0.07856,0.48214,0.31430,0.44906,-0.60645,-0.06982,1.11984,1.02432,0.13263,41001199.47,0.12545,0.0000,0.12545,5.04,14.36638,Financial Services,Asset Management,False,17.84
SPG,0.22283,0.24137,0.79145,1.09661,-0.24319,-0.03445,0.91051,0.99966,0.13731,274110837.50,0.82455,0.0000,0.82455,4.83,26.53566,Real Estate,REIT - Retail,False,26.85
IEMG,0.15016,0.15920,0.70907,1.06668,-0.17206,-0.02148,0.70139,1.06834,0.10864,854448465.12,,0.1100,0.89000,2.85,,Unknown,Unknown,True,22.51
CEG,0.60320,0.49185,1.12532,1.58929,-0.50702,-0.06643,1.45254,1.14311,0.15154,961478317.08,0.19839,0.0000,0.19839,0.43,41.66782,Utilities,Utilities - Independent Power Producers,False,22.21
AEP,0.11889,0.19761,0.46561,0.71571,-0.25574,-0.02683,0.19079,1.05361,0.18605,411704498.88,0.12923,0.0000,0.12923,3.22,17.26023,Utilities,Utilities - Regulated Electric,False,23.59
SRE,0.06885,0.23540,0.23393,0.26937,-0.31621,-0.03294,0.60051,0.87992,0.16129,362189442.04,0.06770,0.0000,0.06770,2.84,27.91692,Utilities,Utilities - Diversified,False,21.82
DUK,0.10467,0.17187,0.43302,0.69421,-0.16540,-0.02291,0.10880,0.98378,0.17343,358398823.86,0.09905,0.0000,0.09905,3.59,18.68032,Utilities,Utilities - Regulated Electric,False,22.51
BEP,0.03264903039759459,0.33740228946156164,0.1433895289346224,0.23145979350552193,-0.3557488122985851,-0.045128873386650406,0.8313805117785319,1.1740768024142505,0.10958942390790574,22440723.52,0.0073,,0.0073,5.35,-348.5,Utilities,Utilities - Renewable,False,29.96
VTI,0.2071,0.1576,1.023,1.3968,-0.193,-0.0218,1.0084,0.9611,0.0026,1.36e+09,,0.0003,0.9997,1.14,,Unknown,Unknown,True,25
MRK,0.0055,0.2381,-0.0268,-0.0354,-0.4344,-0.0353,0.3158,0.9641,0.1319,1.33e+09,0.3949,,0.3949,3.32,13.35,Healthcare,Drug Manufacturers - General,False,15.11
OC,0.1065,0.3246,0.3517,0.5023,-0.5248,-0.0454,1.2494,0.992,0.1209,1.68e+08,-0.016,,-0.016,2.42,6.83,Industrials,Building Products - Equipment,False,18.51
VYM,0.1265,0.1304,0.6736,0.9512,-0.1446,-0.018,0.7087,0.9483,0.0804,2.23e+08,,0.0006,0.9994,2.49,,Unknown,Unknown,True,35
VO,0.1317,0.1546,0.6203,0.8833,-0.1902,-0.0212,0.898,0.9565,0.0525,1.86e+08,,0.0004,0.9996,1.49,,Unknown,Unknown,True,15
XLF,0.1719,0.1665,0.7984,1.0355,-0.1627,-0.0249,0.8367,0.8698,0.1145,2.2e+09,,0.0008,0.9992,1.36,,Unknown,Unknown,True,25
KO,0.0689,0.1475,0.254,0.3915,-0.1727,-0.0196,0.1486,1.0832,0.188,1.16e+09,0.4244,,0.4244,2.88,23.33,Consumer Defensive,Beverages - Non-Alcoholic,False,28.31
PEP,-0.0403,0.1819,-0.3585,-0.5233,-0.3032,-0.0268,0.1836,0.9504,0.1729,1.06e+09,0.3716,,0.3716,3.84,27.93,Consumer Defensive,Beverages - Non-Alcoholic,False,19.28
KMB,-0.0478,0.1963,-0.3562,-0.4031,-0.3081,-0.03,0.143,0.7982,0.1327,4.87e+08,1.3688,,1.3688,4.75,17.76,Consumer Defensive,Household - Personal Products,False,25.12
CLX,-0.0788,0.2274,-0.4278,-0.6794,-0.3983,-0.03,0.2394,1.0706,0.1601,2.07e+08,4.4365,,4.4365,4.72,16.5,Consumer Defensive,Household - Personal Products,False,23.51
CL,0.0288,0.1766,0.0215,0.0301,-0.2905,-0.0259,0.1124,0.883,0.1323,4.99e+08,2.9364,,2.9364,2.66,21.74,Consumer Defensive,Household - Personal Products,False,22.96
RL,0.5076,0.3384,1.269,1.9074,-0.3618,-0.043,1.2653,1.1801,0.1379,2.16e+08,0.3401,,0.3401,1.02,26.36,Consumer Cyclical,Apparel Manufacturing,False,12.07
EXPE,0.3807,0.4288,0.8755,1.2169,-0.337,-0.0556,1.391,1.1065,0.1882,5.29e+08,0.5389,,0.5389,0.61,24.87,Consumer Cyclical,Travel Services,False,18.72
ULTA,0.0485,0.3291,0.1859,0.2596,-0.4456,-0.0448,0.7748,1.1109,0.1515,2.96e+08,0.4852,,0.4852,0,20.51,Consumer Cyclical,Specialty Retail,False,13.82
TPR,0.4871,0.3755,1.1441,1.5943,-0.4154,-0.0478,1.1833,1.1397,0.1478,3.56e+08,0.1605,,0.1605,1.43,87.83,Consumer Cyclical,Luxury Goods,False,16.34
O,0.032423725257167524,0.18227137698771928,0.04549547610917632,0.06624382493468825,-0.29686586792547937,-0.026169127264183707,0.3228999586268952,0.935792074459748,0.19424087930650505,329983234.61,0.02488,,0.02488,5.57,54.401867,Real Estate,REIT - Retail,False,15.27
JPM,0.3683533308162563,0.22821700990669663,1.318728136315238,1.691992196516437,-0.24423930011765652,-0.03436271077882053,0.8835107063745072,0.8935775180714316,0.15471692992501926,2629442446.8,0.16437,,0.16437,1.92,15.656265,Financial Services,Banks - Diversified,False,22.44
BDX,-0.06116963987944779,0.23267707082900105,-0.32637809804479323,-0.36542811024883487,-0.4005917327486823,-0.03355711234876062,0.48272965915558985,0.8181262314253251,0.11336161873493525,387528331.68,0.06544,,0.06544,2.17,33.23499,Healthcare,Medical Instruments & Supplies,False,19.53
VST,0.9767468583548087,0.5274068968213292,1.4917071148881471,1.947393693944484,-0.4880427643634139,-0.07247572575378106,1.612884746739728,1.0874789798996574,0.1538558654923893,811570367.3399999,0.1731,,0.1731,0.53,63.334538,Utilities,Utilities - Independent Power Producers,False,26.23
LRCX,0.5415350122122433,0.43039453354824175,1.1322123580702286,1.6450059153296899,-0.47102666401879506,-0.060700001156121994,1.911851528282857,1.0241001326818613,0.12127036202039715,1822466910.71,0.62261003,,0.62261003,0.65,34.601322,Technology,Semiconductor Equipment & Materials,False,13.21
TT,0.3398735734543268,0.26314687277654253,1.0955822986547428,1.5127125944862565,-0.24435652900722019,-0.0378825961331889,0.9849196883275523,0.9720320294850098,0.12932464400518875,521823674.35,0.3721,,0.3721,0.92,30.966387,Industrials,Building Products & Equipment,False,13.97
ECL,0.22043041525641804,0.20287634436867466,0.8891024166496408,1.2745370909153682,-0.1725948163039963,-0.028864893557144167,0.6451933671402243,1.0408110379434679,0.172532143203445,390264088.5,0.21869,,0.21869,0.98,38.046047,Basic Materials,Specialty Chemicals,False,19.73
